Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides shControl_CTRL_bR1	Peptides shControl_CTRL_bR2	Peptides shControl_CTRL_bR3	Peptides shControl_EGF_bR1	Peptides shControl_EGF_bR2	Peptides shControl_EGF_bR3	Peptides shTMEM_CTRL_bR1	Peptides shTMEM_CTRL_bR2	Peptides shTMEM_CTRL_bR3	Peptides shTMEM_EGF_bR1	Peptides shTMEM_EGF_bR2	Peptides shTMEM_EGF_bR3	Razor + unique peptides shControl_CTRL_bR1	Razor + unique peptides shControl_CTRL_bR2	Razor + unique peptides shControl_CTRL_bR3	Razor + unique peptides shControl_EGF_bR1	Razor + unique peptides shControl_EGF_bR2	Razor + unique peptides shControl_EGF_bR3	Razor + unique peptides shTMEM_CTRL_bR1	Razor + unique peptides shTMEM_CTRL_bR2	Razor + unique peptides shTMEM_CTRL_bR3	Razor + unique peptides shTMEM_EGF_bR1	Razor + unique peptides shTMEM_EGF_bR2	Razor + unique peptides shTMEM_EGF_bR3	Unique peptides shControl_CTRL_bR1	Unique peptides shControl_CTRL_bR2	Unique peptides shControl_CTRL_bR3	Unique peptides shControl_EGF_bR1	Unique peptides shControl_EGF_bR2	Unique peptides shControl_EGF_bR3	Unique peptides shTMEM_CTRL_bR1	Unique peptides shTMEM_CTRL_bR2	Unique peptides shTMEM_CTRL_bR3	Unique peptides shTMEM_EGF_bR1	Unique peptides shTMEM_EGF_bR2	Unique peptides shTMEM_EGF_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type shControl_CTRL_bR1	Identification type shControl_CTRL_bR2	Identification type shControl_CTRL_bR3	Identification type shControl_EGF_bR1	Identification type shControl_EGF_bR2	Identification type shControl_EGF_bR3	Identification type shTMEM_CTRL_bR1	Identification type shTMEM_CTRL_bR2	Identification type shTMEM_CTRL_bR3	Identification type shTMEM_EGF_bR1	Identification type shTMEM_EGF_bR2	Identification type shTMEM_EGF_bR3	Sequence coverage shControl_CTRL_bR1 [%]	Sequence coverage shControl_CTRL_bR2 [%]	Sequence coverage shControl_CTRL_bR3 [%]	Sequence coverage shControl_EGF_bR1 [%]	Sequence coverage shControl_EGF_bR2 [%]	Sequence coverage shControl_EGF_bR3 [%]	Sequence coverage shTMEM_CTRL_bR1 [%]	Sequence coverage shTMEM_CTRL_bR2 [%]	Sequence coverage shTMEM_CTRL_bR3 [%]	Sequence coverage shTMEM_EGF_bR1 [%]	Sequence coverage shTMEM_EGF_bR2 [%]	Sequence coverage shTMEM_EGF_bR3 [%]	Intensity	Intensity shControl_CTRL_bR1	Intensity shControl_CTRL_bR2	Intensity shControl_CTRL_bR3	Intensity shControl_EGF_bR1	Intensity shControl_EGF_bR2	Intensity shControl_EGF_bR3	Intensity shTMEM_CTRL_bR1	Intensity shTMEM_CTRL_bR2	Intensity shTMEM_CTRL_bR3	Intensity shTMEM_EGF_bR1	Intensity shTMEM_EGF_bR2	Intensity shTMEM_EGF_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
Q92878	Q92878	1	1	1	DNA repair protein RAD50	RAD50	>sp|Q92878|RAD50_HUMAN DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1.2	1.2	1.2	153.89	1312	1312	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	1.2	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2306	5213	True	5854	44423;44424	31590	31590		6000		635
Q92882	Q92882	1	1	1	Osteoclast-stimulating factor 1	OSTF1	>sp|Q92882|OSTF1_HUMAN Osteoclast-stimulating factor 1 OS=Homo sapiens OX=9606 GN=OSTF1 PE=1 SV=2	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	7	7	7	23.787	214	214	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	7	7	7	7	7	7	0	7	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2307	10070	True	11469	87577;87578;87579;87580;87581;87582;87583;87584;87585;87586;87587;87588;87589;87590	61744;61745;61746;61747;61748;61749;61750	61745		6001;6002;10037		200;202;213
Q92887	Q92887	1	1	1	Canalicular multispecific organic anion transporter 1	ABCC2	>sp|Q92887|MRP2_HUMAN Canalicular multispecific organic anion transporter 1 OS=Homo sapiens OX=9606 GN=ABCC2 PE=1 SV=3	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0.5	0.5	0.5	174.21	1545	1545	1	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			2308	8685	True	9887	74601;74602;74603;74604;74605;74606;74607;74608	52782	52782		6003		930
Q92888	Q92888	1	1	1	Rho guanine nucleotide exchange factor 1	ARHGEF1	>sp|Q92888|ARHG1_HUMAN Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1.6	1.6	1.6	102.43	912	912	0	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	1.6	1.6	0	0	1.6	1.6	0	1.6	0	0	1.6	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2309	1358	True	1546	12107;12108;12109;12110;12111;12112;12113	9163;9164;9165;9166;9167;9168;9169;9170;9171	9171		6004		863
Q92890	Q92890	3	3	3	Ubiquitin fusion degradation protein 1 homolog	UFD1L	>sp|Q92890|UFD1_HUMAN Ubiquitin recognition factor in ER-associated degradation protein 1 OS=Homo sapiens OX=9606 GN=UFD1 PE=1 SV=3	1	3	3	3	2	2	3	1	3	1	0	3	2	0	1	1	2	2	3	1	3	1	0	3	2	0	1	1	2	2	3	1	3	1	0	3	2	0	1	1	9.1	9.1	9.1	34.5	307	307	0	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	5.2	8.8	9.1	3.9	9.1	3.9	0	9.1	5.2	0	3.9	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2310	3068;3757;3758	True;True;True	3434;4208;4209	26183;26184;26185;26186;26187;26188;26189;31920;31921;31922;31923;31924;31925;31926;31927;31928;31929;31930;31931;31932	18149;18150;18151;18152;18153;22432;22433;22434	18149;22432;22434		6005;6006;6007		245;247;299
Q92900	Q92900	1	1	1	Regulator of nonsense transcripts 1	UPF1	>sp|Q92900|RENT1_HUMAN Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1.5	1.5	1.5	124.34	1129	1129	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	1.5	0	0	1.5	1.5	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2311	9034	True	10282	77712;77713;77714;77715	54939	54939		6008		1107
Q92903	Q92903	1	1	1	Phosphatidate cytidylyltransferase 1	CDS1	>sp|Q92903|CDS1_HUMAN Phosphatidate cytidylyltransferase 1 OS=Homo sapiens OX=9606 GN=CDS1 PE=2 SV=2	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	5.2	5.2	5.2	53.303	461	461	0	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	5.2	5.2	5.2	5.2	5.2	5.2	0	0	5.2	5.2	0	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2312	2161	True	2436	18745;18746;18747;18748;18749;18750;18751;18752;18753	13410;13411	13411		10038		33
Q92917	Q92917	1	1	1	G patch domain and KOW motifs-containing protein	GPKOW	>sp|Q92917|GPKOW_HUMAN G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	4	4	4	52.228	476	476	0	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	4	4	0	4	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2313	5020	True	5642	42761;42762;42763;42764;42765	30290	30290		6009		42
Q92922	Q92922	4	4	4	SWI/SNF complex subunit SMARCC1	SMARCC1	>sp|Q92922|SMRC1_HUMAN SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3	1	4	4	4	3	4	3	1	3	2	1	2	0	1	2	1	3	4	3	1	3	2	1	2	0	1	2	1	3	4	3	1	3	2	1	2	0	1	2	1	2.4	2.4	2.4	122.87	1105	1105	0	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	2.4	2.4	2.4	1.4	2.4	1	1.4	2.4	0	1.4	2.4	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2314	4708;6227;6228;7463	True;True;True;True	5282;7082;7083;8470	39786;39787;39788;39789;39790;39791;39792;39793;39794;39795;53365;53366;53367;53368;53369;53370;53371;53372;53373;53374;53375;53376;53377;53378;63128;63129	27886;27887;27888;27889;27890;27891;27892;27893;27894;27895;27896;27897;27898;27899;27900;27901;27902;27903;27904;27905;27906;27907;27908;27909;27910;27911;27912;37319;37320;37321;37322;37323;44229	27886;37319;37323;44229		6010;6011;6012		310;328;330
Q92925	Q92925	1	1	1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	SMARCD2	>sp|Q92925|SMRD2_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens OX=9606 GN=SMARCD2 PE=1 SV=3	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	5.8	5.8	5.8	58.92	531	531	0	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	5.8	5.8	5.8	0	0	0	0	5.8	0	0	0	5.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2315	4528	True	5083	38255;38256;38257;38258;38259	26814	26814		10039		214
Q92934	Q92934	2	2	2	Bcl2 antagonist of cell death	BAD	>sp|Q92934|BAD_HUMAN Bcl2-associated agonist of cell death OS=Homo sapiens OX=9606 GN=BAD PE=1 SV=3	1	2	2	2	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	20.8	20.8	20.8	18.392	168	168	0	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	7.7	13.1	7.7	7.7	20.8	13.1	7.7	13.1	0	7.7	13.1	13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2316	4013;9125	True;True	4496;4497;10390	33715;33716;33717;33718;33719;33720;33721;33722;33723;33724;78769;78770;78771;78772;78773;78774	23793;23794;23795;23796;23797;23798;23799;23800;23801;23802;23803;55635	23801;55635	519	6013;6014	86	75;97
Q92945	Q92945	5	5	5	Far upstream element-binding protein 2	KHSRP	>sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4	1	5	5	5	4	1	5	1	3	3	1	5	3	3	3	4	4	1	5	1	3	3	1	5	3	3	3	4	4	1	5	1	3	3	1	5	3	3	3	4	8.7	8.7	8.7	73.114	711	711	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.7	1.8	8.7	1.8	6.2	5.1	1.8	8.7	5.3	5.2	5.2	6.9	29526000	332550	0	11842000	0	735680	4864600	0	6878500	973180	255910	579050	3064700	10				2317	1165;4191;6040;9556;11079	True;True;True;True;True	1331;4704;6833;10898;12598;12599	10456;10457;10458;10459;10460;35392;35393;35394;35395;35396;35397;35398;51646;51647;51648;51649;51650;51651;51652;82988;82989;82990;82991;82992;82993;96714;96715;96716;96717;96718;96719;96720;96721;96722;96723;96724;96725;96726;96727	7269;25130;25131;36379;36380;36381;36382;36383;58482;58483;68315;68316;68317;68318;68319;68320;68321;68322;68323;68324;68325;68326;68327;68328;68329;68330	7269;25131;36379;58482;68319		6015		181
Q92956	Q92956	1	1	1	Tumor necrosis factor receptor superfamily member 14	TNFRSF14	>sp|Q92956|TNR14_HUMAN Tumor necrosis factor receptor superfamily member 14 OS=Homo sapiens OX=9606 GN=TNFRSF14 PE=1 SV=3	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	2.5	2.5	2.5	30.391	283	283	0.0099472	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	2.5	2.5	0	2.5	2.5	0	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2318	10858	True	12350	94895;94896;94897;94898;94899;94900	67025	67025		6016		240
Q92974	Q92974	11	11	10	Rho guanine nucleotide exchange factor 2	ARHGEF2	>sp|Q92974|ARHG2_HUMAN Rho guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=ARHGEF2 PE=1 SV=4	1	11	11	10	6	8	8	5	9	8	5	9	7	6	9	9	6	8	8	5	9	8	5	9	7	6	9	9	6	8	8	5	9	8	5	9	7	6	9	9	12.6	12.6	11.6	111.54	986	986	0	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.5	11.1	11.4	7.7	11.4	11.4	6.6	11.6	9.8	8.5	11.4	11.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2319	2488;2595;2599;4329;6891;7703;8181;8182;8659;9572;9843	True;True;True;True;True;True;True;True;True;True;True	2796;2915;2920;4852;4853;7811;8746;9302;9303;9858;10920	21446;21447;21448;21449;21450;21451;21452;21453;21454;21455;21456;21457;22308;22309;22310;22311;22312;22313;22314;22315;22316;22317;22318;22319;22320;22321;22322;22323;22324;22325;22326;22360;22361;22362;22363;22364;22365;22366;22367;22368;22369;22370;22371;22372;22373;22374;22375;22376;22377;22378;36544;36545;36546;36547;36548;36549;36550;36551;36552;36553;36554;36555;36556;36557;36558;36559;36560;36561;36562;36563;36564;36565;36566;58425;58426;58427;58428;58429;58430;58431;65321;69867;69868;69869;69870;69871;69872;69873;69874;69875;69876;69877;69878;69879;69880;69881;74354;74355;74356;74357;74358;74359;74360;74361;74362;74363;74364;74365;74366;74367;74368;74369;83152;83153;83154;83155;83156;83157;83158;83159;83160;83161;83162;83163;83164;83165;83166;83167;83168;83169;83170;83171;83172;83173;83174;83175;83176;83177;83178	15014;15015;15016;15017;15018;15019;15020;15021;15022;15023;15024;15025;15026;15027;15028;15029;15030;15031;15032;15033;15601;15602;15603;15604;15605;15606;15607;15608;15609;15610;15611;15612;15613;15614;15615;15616;15617;15641;15642;15643;15644;25777;25778;25779;25780;25781;25782;25783;25784;25785;25786;25787;25788;25789;25790;25791;25792;25793;25794;25795;25796;25797;40694;40695;40696;40697;40698;40699;40700;40701;46062;49267;49268;49269;49270;49271;49272;49273;52618;52619;52620;52621;52622;52623;52624;52625;52626;52627;52628;52629;58580;58581;58582;58583;58584;58585;58586;58587;58588;58589;58590;58591;58592;58593;58594	15024;15605;15644;25779;40699;46062;49269;49273;52622;58590	520	6017;6018;6019;6020;6021;6022;6023;6024;6025;6026;6027;6028;10040;10041;10042	180	121;122;151;152;153;163;172;174;643;645;691;695;696;886;932
Q92993	Q92993	1	1	1	Histone acetyltransferase KAT5	KAT5	>sp|Q92993|KAT5_HUMAN Histone acetyltransferase KAT5 OS=Homo sapiens OX=9606 GN=KAT5 PE=1 SV=2	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	2.5	2.5	2.5	58.581	513	513	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	2.5	0	2.5	0	2.5	2.5	0	0	2.5	2.5	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2320	6270	True	7127	53645;53646;53647;53648;53649;53650;53651	37441	37441		6029		90
Q92997	Q92997	1	1	1	Segment polarity protein dishevelled homolog DVL-3	DVL3	>sp|Q92997|DVL3_HUMAN Segment polarity protein dishevelled homolog DVL-3 OS=Homo sapiens OX=9606 GN=DVL3 PE=1 SV=2	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	5.3	5.3	5.3	78.054	716	716	0	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	5.3	0	5.3	0	5.3	0	5.3	5.3	0	5.3	5.3	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2321	9869	True	11248	85829;85830;85831;85832;85833;85834;85835;85836	60664;60665;60666	60665		6030		125
Q93009	Q93009	2	2	2	Ubiquitin carboxyl-terminal hydrolase 7	USP7	>sp|Q93009|UBP7_HUMAN Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2	1	2	2	2	0	2	1	0	1	0	1	1	1	1	1	0	0	2	1	0	1	0	1	1	1	1	1	0	0	2	1	0	1	0	1	1	1	1	1	0	4	4	4	128.3	1102	1102	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	0	4	1.8	0	2.2	0	1.8	2.2	2.2	1.8	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2322	365;4246	True;True	417;4763	3328;3329;3330;3331;3332;3333;3334;35847;35848;35849;35850;35851	2350;2351;2352;2353;2354;2355;2356;2357;2358;2359;2360;2361;2362;2363;25408	2361;25408		6031;6032		18;963
Q93045	Q93045	2	1	1	Stathmin-2	STMN2	>sp|Q93045|STMN2_HUMAN Stathmin-2 OS=Homo sapiens OX=9606 GN=STMN2 PE=1 SV=3	1	2	1	1	2	1	2	1	2	2	1	2	2	2	2	2	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	10.6	5.6	5.6	20.828	179	179	0.00067204	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	10.6	5	10.6	5	10.6	10.6	5.6	10.6	10.6	10.6	10.6	10.6	22832000	703140	0	6760800	0	851760	5071600	183810	5566600	736690	975390	436400	1545700	1				2323	550;1566	True;False	628;1767;1768	5054;5055;5056;5057;5058;5059;5060;5061;5062;5063;13802;13803;13804;13805;13806;13807;13808;13809;13810;13811;13812;13813;13814;13815;13816;13817;13818;13819	3561;10135;10136;10137;10138;10139;10140	3561;10139		1398		80
Q93062	Q93062	1	1	1	RNA-binding protein with multiple splicing	RBPMS	>sp|Q93062|RBPMS_HUMAN RNA-binding protein with multiple splicing OS=Homo sapiens OX=9606 GN=RBPMS PE=1 SV=1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	10.7	10.7	10.7	21.802	196	196	0	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	0	10.7	0	10.7	10.7	0	0	10.7	10.7	0	0	10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2324	5858	True	6580	49713;49714;49715;49716;49717;49718	34994;34995;34996;34997	34995		6033;10043;10044		113;117;118
Q93100	Q93100	2	2	2	Phosphorylase b kinase regulatory subunit beta	PHKB	>sp|Q93100|KPBB_HUMAN Phosphorylase b kinase regulatory subunit beta OS=Homo sapiens OX=9606 GN=PHKB PE=1 SV=3	1	2	2	2	1	1	0	0	0	2	0	1	1	0	1	1	1	1	0	0	0	2	0	1	1	0	1	1	1	1	0	0	0	2	0	1	1	0	1	1	2.1	2.1	2.1	124.88	1093	1093	0	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	2	2	0	0	0	2.1	0	2.1	2.1	0	2.1	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2325	7170;7669	True;True	8131;8706	60409;60410;60411;65025;65026;65027;65028;65029	42315;45823;45824;45825;45826	42315;45823		6034;6035;10045		700;701;702
Q969E4	Q969E4	1	1	1	Transcription elongation factor A protein-like 3	TCEAL3	>sp|Q969E4|TCAL3_HUMAN Transcription elongation factor A protein-like 3 OS=Homo sapiens OX=9606 GN=TCEAL3 PE=1 SV=1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11.5	11.5	11.5	22.502	200	200	0	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	11.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2326	2003	True	2260	17643	12648	12648		6036		65
Q969G5	Q969G5	1	1	1	Protein kinase C delta-binding protein	PRKCDBP	>sp|Q969G5|CAVN3_HUMAN Caveolae-associated protein 3 OS=Homo sapiens OX=9606 GN=CAVIN3 PE=1 SV=3	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	13	13	13	27.701	261	261	0	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	0	0	13	0	0	13	0	13	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2327	687	True	788	6240;6241;6242;6243;6244;6245;6246;6247	4316;4317;4318;4319;4320;4321;4322	4321		6037;6038		165;166
Q969H4	Q969H4	1	1	1	Connector enhancer of kinase suppressor of ras 1	CNKSR1	>sp|Q969H4|CNKR1_HUMAN Connector enhancer of kinase suppressor of ras 1 OS=Homo sapiens OX=9606 GN=CNKSR1 PE=1 SV=1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1.7	1.7	1.7	79.705	720	720	0.0006782	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	1.7	1.7	1.7	0	1.7	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2328	8958	True	10197	77062;77063;77064;77065;77066	54422	54422		6039;6040		307;314
Q969H8	Q969H8	1	1	1	UPF0556 protein C19orf10	C19orf10	>sp|Q969H8|MYDGF_HUMAN Myeloid-derived growth factor OS=Homo sapiens OX=9606 GN=MYDGF PE=1 SV=1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	8.7	8.7	8.7	18.795	173	173	0	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	8.7	0	8.7	0	8.7	8.7	8.7	8.7	0	8.7	0	0	21790000	135750	0	9076800	0	1282200	6376700	197120	4449600	0	271920	0	0	1				2329	2626	True	2954	22744;22745;22746;22747;22748;22749;22750	15948	15948				
Q969K3	Q969K3	1	1	1	E3 ubiquitin-protein ligase RNF34	RNF34	>sp|Q969K3|RNF34_HUMAN E3 ubiquitin-protein ligase RNF34 OS=Homo sapiens OX=9606 GN=RNF34 PE=1 SV=1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	5.4	5.4	5.4	41.64	372	372	0	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	5.4	5.4	0	5.4	0	5.4	5.4	0	0	5.4	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2330	11097	True	12617	96857;96858;96859;96860;96861;96862;96863	68420;68421	68420		6041		254
Q969S3	Q969S3	1	1	1	Zinc finger protein 622	ZNF622	>sp|Q969S3|ZN622_HUMAN Zinc finger protein 622 OS=Homo sapiens OX=9606 GN=ZNF622 PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.7	1.7	1.7	54.271	477	477	0.005461	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2331	770	True	877	6865	4779	4779	521	6042	142	143
Q969T4	Q969T4	2	2	2	Ubiquitin-conjugating enzyme E2 E3	UBE2E3	>sp|Q969T4|UB2E3_HUMAN Ubiquitin-conjugating enzyme E2 E3 OS=Homo sapiens OX=9606 GN=UBE2E3 PE=1 SV=1	1	2	2	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	15.9	15.9	15.9	22.912	207	207	0	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	6.3	15.9	0	6.3	15.9	0	0	0	0	6.3	0	0	2522500	1756500	0	0	468690	0	0	0	0	0	297260	0	0	3				2332	1632;7126	True;True	1849;8077	14505;14506;14507;60049;60050	10600;10601;10602;42007;42008	10600;42007		6043;6044;6045		8;12;14
